[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,361] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,392] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,393] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
[2025-02-22 23:31:24,409] INFO: Distributed process group initialized
